feedback_id,feedback_timestamp,feedback_type,target,content
0,1741915254160,"{'intention': describe, 'actuality': observed, 'relation': absolute, 'content': instance, 'granularity': entire, 'txt_feedback': None, 'txt_score': None, 'txt_feedback_type': critique}","{'target_id': 'GFootball-academy_pass_and_shoot_with_keeper-SMM-v0_trained_1_-1_0', 'origin': offline, 'timestamp': 1741915254160}",{'text': '11'}
1,1741915256955,"{'intention': describe, 'actuality': observed, 'relation': absolute, 'content': instance, 'granularity': entire, 'txt_feedback': None, 'txt_score': None, 'txt_feedback_type': critique}","{'target_id': 'GFootball-academy_pass_and_shoot_with_keeper-SMM-v0_trained_1_-1_1', 'origin': offline, 'timestamp': 1741915256955}",{'text': '12'}
2,1741915272556,"{'intention': describe, 'actuality': observed, 'relation': absolute, 'content': instance, 'granularity': entire, 'txt_feedback': None, 'txt_score': None, 'txt_feedback_type': critique}","{'target_id': 'GFootball-academy_pass_and_shoot_with_keeper-SMM-v0_trained_1_-1_3', 'origin': offline, 'timestamp': 1741915272556}",{'text': 'sds'}
3,1741915281555,"{'intention': describe, 'actuality': observed, 'relation': absolute, 'content': instance, 'granularity': entire, 'txt_feedback': None, 'txt_score': None, 'txt_feedback_type': critique}","{'target_id': 'GFootball-academy_pass_and_shoot_with_keeper-SMM-v0_trained_1_-1_4', 'origin': offline, 'timestamp': 1741915281555}",{'text': '12esad'}
4,1741915283343,"{'intention': describe, 'actuality': observed, 'relation': absolute, 'content': instance, 'granularity': entire, 'txt_feedback': None, 'txt_score': None, 'txt_feedback_type': critique}","{'target_id': 'GFootball-academy_pass_and_shoot_with_keeper-SMM-v0_trained_1_-1_5', 'origin': offline, 'timestamp': 1741915283343}",{'text': 'dasasd'}
5,1741915294819,"{'intention': describe, 'actuality': observed, 'relation': absolute, 'content': instance, 'granularity': entire, 'txt_feedback': None, 'txt_score': None, 'txt_feedback_type': critique}","{'target_id': 'GFootball-academy_pass_and_shoot_with_keeper-SMM-v0_trained_1_-1_7', 'origin': offline, 'timestamp': 1741915294819}",{'text': '2233'}
6,1741915297253,"{'intention': describe, 'actuality': observed, 'relation': absolute, 'content': instance, 'granularity': entire, 'txt_feedback': None, 'txt_score': None, 'txt_feedback_type': critique}","{'target_id': 'GFootball-academy_pass_and_shoot_with_keeper-SMM-v0_trained_1_-1_6', 'origin': offline, 'timestamp': 1741915297253}",{'text': 'asdasd'}
7,1741915310043,"{'intention': describe, 'actuality': observed, 'relation': absolute, 'content': instance, 'granularity': entire, 'txt_feedback': None, 'txt_score': None, 'txt_feedback_type': critique}","{'target_id': 'GFootball-academy_pass_and_shoot_with_keeper-SMM-v0_trained_1_-1_8', 'origin': offline, 'timestamp': 1741915310043}",{'text': '1233'}
8,1741915311930,"{'intention': describe, 'actuality': observed, 'relation': absolute, 'content': instance, 'granularity': entire, 'txt_feedback': None, 'txt_score': None, 'txt_feedback_type': critique}","{'target_id': 'GFootball-academy_pass_and_shoot_with_keeper-SMM-v0_trained_1_-1_9', 'origin': offline, 'timestamp': 1741915311930}",{'text': 'sddsa'}
9,1741915326132,"{'intention': describe, 'actuality': observed, 'relation': absolute, 'content': instance, 'granularity': entire, 'txt_feedback': None, 'txt_score': None, 'txt_feedback_type': critique}","{'target_id': 'GFootball-academy_pass_and_shoot_with_keeper-SMM-v0_trained_1_-1_11', 'origin': offline, 'timestamp': 1741915326132}",{'text': '22333'}
10,1741915328159,"{'intention': describe, 'actuality': observed, 'relation': absolute, 'content': instance, 'granularity': entire, 'txt_feedback': None, 'txt_score': None, 'txt_feedback_type': critique}","{'target_id': 'GFootball-academy_pass_and_shoot_with_keeper-SMM-v0_trained_1_-1_10', 'origin': offline, 'timestamp': 1741915328159}",{'text': '123132s'}
