session_id,feedback_type,targets,granularity,timestamp,text_feedback,score,preferences,action,state,action_preferences,state_preferences,is_demo,demo_preferences,feature_selection,feature_importance,feature_selections_preferences,feature_importance_preferences,user_id
2025-03-14_02-20-47_TestExperiment_feedback,text,"[{'target_id': 'GFootball-academy_pass_and_shoot_with_keeper-SMM-v0_trained_1_-1_0', 'reference': {'env_name': 'GFootball-academy_pass_and_shoot_with_keeper-SMM-v0', 'benchmark_type': 'trained', 'benchmark_id': 1, 'checkpoint_step': -1, 'episode_num': 0}, 'origin': 'offline', 'timestamp': 1741915254160}]",episode,1741915254160,11,0.0,[],,,,,False,,,,,,-1
2025-03-14_02-20-47_TestExperiment_feedback,text,"[{'target_id': 'GFootball-academy_pass_and_shoot_with_keeper-SMM-v0_trained_1_-1_0', 'reference': {'env_name': 'GFootball-academy_pass_and_shoot_with_keeper-SMM-v0', 'benchmark_type': 'trained', 'benchmark_id': 1, 'checkpoint_step': -1, 'episode_num': 0}, 'origin': 'offline', 'timestamp': 1741915254160}]",episode,1741915254160,11,0.0,[],,,,,False,,,,,,-1
2025-03-14_02-20-47_TestExperiment_feedback,text,"[{'target_id': 'GFootball-academy_pass_and_shoot_with_keeper-SMM-v0_trained_1_-1_1', 'reference': {'env_name': 'GFootball-academy_pass_and_shoot_with_keeper-SMM-v0', 'benchmark_type': 'trained', 'benchmark_id': 1, 'checkpoint_step': -1, 'episode_num': 1}, 'origin': 'offline', 'timestamp': 1741915256955}]",episode,1741915256955,12,0.0,[],,,,,False,,,,,,-1
2025-03-14_02-20-47_TestExperiment_feedback,text,"[{'target_id': 'GFootball-academy_pass_and_shoot_with_keeper-SMM-v0_trained_1_-1_0', 'reference': {'env_name': 'GFootball-academy_pass_and_shoot_with_keeper-SMM-v0', 'benchmark_type': 'trained', 'benchmark_id': 1, 'checkpoint_step': -1, 'episode_num': 0}, 'origin': 'offline', 'timestamp': 1741915254160}]",episode,1741915254160,11,0.0,[],,,,,False,,,,,,-1
2025-03-14_02-20-47_TestExperiment_feedback,text,"[{'target_id': 'GFootball-academy_pass_and_shoot_with_keeper-SMM-v0_trained_1_-1_1', 'reference': {'env_name': 'GFootball-academy_pass_and_shoot_with_keeper-SMM-v0', 'benchmark_type': 'trained', 'benchmark_id': 1, 'checkpoint_step': -1, 'episode_num': 1}, 'origin': 'offline', 'timestamp': 1741915256955}]",episode,1741915256955,12,0.0,[],,,,,False,,,,,,-1
2025-03-14_02-20-47_TestExperiment_feedback,text,"[{'target_id': 'GFootball-academy_pass_and_shoot_with_keeper-SMM-v0_trained_1_-1_3', 'reference': {'env_name': 'GFootball-academy_pass_and_shoot_with_keeper-SMM-v0', 'benchmark_type': 'trained', 'benchmark_id': 1, 'checkpoint_step': -1, 'episode_num': 3}, 'origin': 'offline', 'timestamp': 1741915272556}]",episode,1741915272556,sds,0.0,[],,,,,False,,,,,,-1
2025-03-14_02-20-47_TestExperiment_feedback,text,"[{'target_id': 'GFootball-academy_pass_and_shoot_with_keeper-SMM-v0_trained_1_-1_0', 'reference': {'env_name': 'GFootball-academy_pass_and_shoot_with_keeper-SMM-v0', 'benchmark_type': 'trained', 'benchmark_id': 1, 'checkpoint_step': -1, 'episode_num': 0}, 'origin': 'offline', 'timestamp': 1741915254160}]",episode,1741915254160,11,0.0,[],,,,,False,,,,,,-1
2025-03-14_02-20-47_TestExperiment_feedback,text,"[{'target_id': 'GFootball-academy_pass_and_shoot_with_keeper-SMM-v0_trained_1_-1_1', 'reference': {'env_name': 'GFootball-academy_pass_and_shoot_with_keeper-SMM-v0', 'benchmark_type': 'trained', 'benchmark_id': 1, 'checkpoint_step': -1, 'episode_num': 1}, 'origin': 'offline', 'timestamp': 1741915256955}]",episode,1741915256955,12,0.0,[],,,,,False,,,,,,-1
2025-03-14_02-20-47_TestExperiment_feedback,text,"[{'target_id': 'GFootball-academy_pass_and_shoot_with_keeper-SMM-v0_trained_1_-1_3', 'reference': {'env_name': 'GFootball-academy_pass_and_shoot_with_keeper-SMM-v0', 'benchmark_type': 'trained', 'benchmark_id': 1, 'checkpoint_step': -1, 'episode_num': 3}, 'origin': 'offline', 'timestamp': 1741915272556}]",episode,1741915272556,sds,0.0,[],,,,,False,,,,,,-1
2025-03-14_02-20-47_TestExperiment_feedback,text,"[{'target_id': 'GFootball-academy_pass_and_shoot_with_keeper-SMM-v0_trained_1_-1_4', 'reference': {'env_name': 'GFootball-academy_pass_and_shoot_with_keeper-SMM-v0', 'benchmark_type': 'trained', 'benchmark_id': 1, 'checkpoint_step': -1, 'episode_num': 4}, 'origin': 'offline', 'timestamp': 1741915281555}]",episode,1741915281555,12esad,0.0,[],,,,,False,,,,,,-1
